medal_type,discipline,country
Gold Medal,Canoe Sprint,New Zealand
Bronze Medal,Sailing,New Zealand
Gold Medal,Canoe Sprint,New Zealand
Gold Medal,Canoe Sprint,New Zealand
Bronze Medal,Sailing,Norway
Bronze Medal,Sailing,Peru
Silver Medal,Canoe Slalom,Poland
Bronze Medal,Rowing,Poland
Bronze Medal,Canoe Sprint,Republic of Moldova
Gold Medal,Swimming,Romania
Bronze Medal,Swimming,Romania
Gold Medal,Rowing,Romania
Silver Medal,Rowing,Romania
Silver Medal,Rowing,Romania
Silver Medal,Rowing,Romania
Gold Medal,Rowing,Romania
Gold Medal,Water Polo,Serbia
Bronze Medal,Sailing,Singapore
Bronze Medal,Canoe Slalom,Slovakia
Silver Medal,Sailing,Slovenia
Gold Medal,Swimming,South Africa
Silver Medal,Swimming,South Africa
Bronze Medal,Canoe Slalom,Spain
Gold Medal,Sailing,Spain
Bronze Medal,Artistic Swimming,Spain
Bronze Medal,Canoe Sprint,Spain
Bronze Medal,Canoe Sprint,Spain
Gold Medal,Water Polo,Spain
Gold Medal,Swimming,Sweden
Silver Medal,Sailing,Sweden
Gold Medal,Swimming,Sweden
Bronze Medal,Sailing,Sweden
Bronze Medal,Swimming,Switzerland
Bronze Medal,Rowing,Switzerland
Silver Medal,Canoe Sprint,Ukraine
Gold Medal,Swimming,United States
Silver Medal,Swimming,United States
Bronze Medal,Swimming,United States
Silver Medal,Swimming,United States
Bronze Medal,Swimming,United States
Gold Medal,Swimming,United States
Silver Medal,Swimming,United States
Bronze Medal,Swimming,United States
Bronze Medal,Swimming,United States
Silver Medal,Swimming,United States
Bronze Medal,Swimming,United States
Silver Medal,Swimming,United States
Silver Medal,Swimming,United States
Silver Medal,Swimming,United States
Bronze Medal,Swimming,United States
Bronze Medal,Canoe Slalom,United States
Silver Medal,Swimming,United States
Gold Medal,Swimming,United States
Gold Medal,Rowing,United States
Gold Medal,Swimming,United States
Silver Medal,Swimming,United States
Silver Medal,Swimming,United States
Bronze Medal,Sailing,United States
Silver Medal,Swimming,United States
Bronze Medal,Rowing,United States
Gold Medal,Swimming,United States
Silver Medal,Swimming,United States
Gold Medal,Swimming,United States
Bronze Medal,Swimming,United States
Gold Medal,Swimming,United States
Silver Medal,Swimming,United States
Gold Medal,Swimming,United States
Gold Medal,Surfing,United States
Silver Medal,Artistic Swimming,United States
Silver Medal,Canoe Sprint,United States
Bronze Medal,Water Polo,United States
